병원명,주소,전화번호,진료동물,평일운영시작시각,평일운영종료시각,휴일운영시작시각,휴일운영종료시각,휴무일,편의시설,홈페이지,데이터기준일자
아이즈동물병원,강원도 강릉시 옥가로 22,033-646-8841,소동물,09:00,18:00,09:00,13:00,일요일,지역화폐,,2021-10-20
행복한종합동물병원,강원도 강릉시 경강로 2142,033-648-7533,소동물,09:00,18:30,09:00,15:00,일요일,,,2021-10-20
도그빌동물병원,강원도 강릉시 명륜로 23-1,033-645-2289,소동물,09:00,18:00,09:00,15:00,일요일+공휴일,주차+무선 인터넷,,2021-10-20
애견종합동물병원,강원도 강릉시 경강로 2130,033-647-8575,소동물,09:00,17:30,09:00,12:00,일요일+공휴일,주차+무선 인터넷+지역화폐,,2021-10-20
강릉동물병원,강원도 강릉시 옥가로 18,033-641-7584,소동물,09:00,18:00,09:00,13:00,토요일+일요일+공휴일,주차,http://blog.naver.com/skac762,2021-10-20
나은동물병원,강원도 강릉시 교동광장로100번길 8-10,033-642-7587,소동물,09:30,19:30,09:30,16:00,,양방 진료+한방 진료,,2021-10-20
강릉축협동물병원,강원도 강릉시 용지로 20,033-610-1729,대동물,09:00,18:00,00:00,00:00,토요일+일요일+공휴일,,,2021-10-20
강원양돈축산업협동조합동물병원,강원도 강릉시 솔올로 9,033-642-2212,대동물,09:00,18:00,00:00,00:00,토요일+일요일+공휴일,,,2021-10-20
강남가축병원,강원도 강릉시 남구길24번길 16,,대동물,00:00,00:00,00:00,00:00,출장전문,출장전문+응급진료,,2021-10-20
하슬라동물병원,강원도 강릉시 하슬라로 131,033-645-7585,소동물,09:00,19:00,09:00,19:00,일요일,주차+무선 인터넷+반려동물 동반 ,https://blog.naver.com/haslla-ha,2021-10-20
24시보듬동물병원,"강원도 강릉시 경강로 2070, 1~2층",033-655-7975,소동물,09:00,21:00,09:00,21:00,연중무휴,야간응급진료(오후9시~자정),https://blog.naver.com/bodeumah,2021-10-20
베스트동물병원,"강원도 강릉시 경강로 2129, 1층",033-922-7582,소동물,00:00,00:00,00:00,00:00,연중무휴,반려동물 동반+응급진료+휴일진료,http://blog.naver.com/near9946,2021-10-20
주주동물병원,강원도 강릉시 성덕포남로 105,033-652-0075,소동물,09:00,19:00,09:00,17:00,일요일,주차+무선 인터넷+반려동물 동반+남/여 화장실 구분+장애인 편의시설+지역화폐,http://blog.naver.com/zzah2018,2021-10-20
중앙동물병원,강원도 강릉시 주문진읍 연주로 308-1,,소동물,09:00,19:00,09:00,13:00,일요일+공휴일,주차+지역화폐,,2021-10-20
위드동물병원,"강원도 강릉시 선수촌로63번길 18-7, 1층",033-645-5575,소동물,10:00,20:00,10:00,16:00,일요일,주차+예약+반려동물 동반+남/녀 화장실 구분,https://withah.tistory.com/,2021-10-20
