시군명,읍면동명,등록동물수(마리),(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수,데이터기준일자
용인시,포곡읍,1751,89,1660,2,885,741,125,73,1291,1.36,3,2022-07-20
용인시 ,모현읍,1244,111,1125,8,660,414,170,115,849,1.47,1,2022-07-20
용인시,이동읍,1112,153,959,0,632,321,159,112,802,1.39,0,2022-07-20
용인시,남사면,808,64,744,0,437,287,84,61,516,1.57,1,2022-07-20
용인시,원삼면,673,54,618,1,425,197,51,65,398,1.69,1,2022-07-20
용인시,백암면,503,29,474,0,370,111,22,48,279,1.8,1,2022-07-20
용인시,양지면,1542,329,1208,5,932,418,192,70,848,1.82,1,2022-07-20
용인시,중앙동,1330,115,1210,5,714,505,111,102,1002,1.33,3,2022-07-20
용인시,역삼동,1725,153,1572,0,880,665,180,110,1332,1.3,3,2022-07-20
용인시,유림동,1858,147,1710,1,870,806,182,104,1397,1.33,0,2022-07-20
용인시,동부동,697,74,623,0,327,292,78,95,517,1.35,3,2022-07-20
용인시,중동,1995,275,1716,4,1082,545,368,74,1584,1.26,6,2022-07-20
용인시,고매동,282,51,230,1,132,103,47,35,205,1.38,0,2022-07-20
용인시,공세동,958,146,812,0,457,349,152,64,699,1.37,1,2022-07-20
용인시,구갈동,1581,321,1258,2,735,553,293,62,1259,1.25,6,2022-07-20
용인시,농서동,161,10,151,0,83,65,13,30,123,1.31,0,2022-07-20
용인시,동백동,1390,321,1068,1,624,420,346,66,1103,1.26,1,2022-07-20
용인시,마북동,1452,230,1221,1,764,470,218,59,1154,1.26,3,2022-07-20
용인시,보라동,1286,262,1023,1,529,514,243,60,1024,1.25,3,2022-07-20
용인시,보정동,1759,207,1552,0,939,556,264,76,1392,1.26,5,2022-07-20
용인시,상갈동,465,93,372,0,213,172,80,41,371,1.23,1,2022-07-20
용인시,상하동,1285,282,1003,0,594,388,303,66,982,1.31,0,2022-07-20
용인시,서천동,727,91,636,0,383,232,112,53,565,1.29,2,2022-07-20
용인시,신갈동,1583,312,1269,2,731,503,349,67,1268,1.25,4,2022-07-20
용인시,언남동,825,118,706,1,438,280,107,58,672,1.23,2,2022-07-20
용인시,영덕동,1800,265,1533,2,736,788,276,72,1402,1.28,3,2022-07-20
용인시,지곡동,254,42,212,0,102,114,38,40,158,1.6,0,2022-07-20
용인시,청덕동,721,120,601,0,326,234,161,56,571,1.26,1,2022-07-20
용인시,하갈동,237,48,189,0,98,89,50,40,166,1.43,0,2022-07-20
용인시,고기동,326,44,280,2,172,107,47,55,211,1.55,0,2022-07-20
용인시,동천동,1628,258,1368,2,742,586,300,79,1307,1.25,4,2022-07-20
용인시,상현동,4031,697,3332,2,2054,1211,766,82,3259,1.24,9,2022-07-20
용인시,성복동,2826,381,2444,1,1675,761,390,76,2026,1.39,8,2022-07-20
용인시,신봉동,2053,301,1749,3,1177,581,295,71,1592,1.29,5,2022-07-20
용인시,죽전동,3533,438,3094,1,1960,1111,462,79,2893,1.22,8,2022-07-20
용인시,풍덕천동,3826,577,3247,2,1976,1098,752,80,3131,1.22,6,2022-07-20
