읍면동(법정동),등록주체_시군구,등록주체_대행업체,등록주체_기타(이벤트 등),등록형태_내장형RFID,등록형태_외장형RFID,등록형태_인식표RFID,등록품종수,동물소유자수,동물소유자당동물등록수,총등록수,데이터기준일자
신설동,6,188,0,70,103,21,32,147,1.32,194,2020-10-14
용두동,70,1275,2,508,721,118,64,1025,1.31,1347,2020-10-14
이문동,52,2320,1,1034,1196,143,67,1344,1.77,2373,2020-10-14
장안동,133,3450,1,1508,1871,205,78,2745,1.31,3584,2020-10-14
전농동,76,1882,2,1030,800,130,67,1559,1.26,1960,2020-10-14
제기동,42,1152,0,436,680,78,63,901,1.33,1194,2020-10-14
회기동,10,325,0,162,143,30,40,285,1.18,335,2020-10-14
휘경동,38,1374,1,658,676,79,60,1130,1.25,1413,2020-10-14
답십리동,108,2428,2,1319,1025,194,69,1873,1.36,2538,2020-10-14
청량리동,30,843,0,289,530,54,54,659,1.32,873,2020-10-14
,,,,,,,,,,,
