집계연도,법정동,등록수,데이터기준일자
2022,가능동,28,2022-02-25
2022,고산동,3,2022-02-25
2022,금오동,5,2022-02-25
2022,낙양동,7,2022-02-25
2022,녹양동,8,2022-02-25
2022,민락동,25,2022-02-25
2022,산곡동,4,2022-02-25
2022,신곡동,24,2022-02-25
2022,용현동,6,2022-02-25
2022,장암동,2,2022-02-25
2022,호원동,22,2022-02-25
2022,의정부동,42,2022-02-25
2021,가능동,741,2022-02-25
2021,고산동,132,2022-02-25
2021,금오동,316,2022-02-25
2021,낙양동,386,2022-02-25
2021,녹양동,243,2022-02-25
2021,민락동,679,2022-02-25
2021,산곡동,95,2022-02-25
2021,신곡동,929,2022-02-25
2021,용현동,274,2022-02-25
2021,자일동,10,2022-02-25
2021,장암동,213,2022-02-25
2021,호원동,726,2022-02-25
2021,의정부동,2093,2022-02-25
2020,가능동,338,2022-02-25
2020,고산동,17,2022-02-25
2020,금오동,136,2022-02-25
2020,낙양동,192,2022-02-25
2020,녹양동,109,2022-02-25
2020,민락동,310,2022-02-25
2020,산곡동,42,2022-02-25
2020,신곡동,480,2022-02-25
2020,용현동,167,2022-02-25
2020,자일동,5,2022-02-25
2020,장암동,104,2022-02-25
2020,호원동,335,2022-02-25
2020,의정부동,578,2022-02-25
2019,가능동,1128,2022-02-25
2019,고산동,58,2022-02-25
2019,금오동,557,2022-02-25
2019,낙양동,552,2022-02-25
2019,녹양동,447,2022-02-25
2019,민락동,1053,2022-02-25
2019,산곡동,42,2022-02-25
2019,신곡동,1655,2022-02-25
2019,용현동,511,2022-02-25
2019,자일동,15,2022-02-25
2019,장암동,291,2022-02-25
2019,호원동,1222,2022-02-25
2019,의정부동,1514,2022-02-25
2018,가능동,151,2022-02-25
2018,금오동,82,2022-02-25
2018,낙양동,72,2022-02-25
2018,녹양동,53,2022-02-25
2018,민락동,157,2022-02-25
2018,신곡동,245,2022-02-25
2018,용현동,117,2022-02-25
2018,장암동,59,2022-02-25
2018,호원동,188,2022-02-25
2018,의정부동,250,2022-02-25
2017,가능동,114,2022-02-25
2017,고산동,7,2022-02-25
2017,금오동,49,2022-02-25
2017,낙양동,39,2022-02-25
2017,녹양동,35,2022-02-25
2017,민락동,71,2022-02-25
2017,산곡동,10,2022-02-25
2017,신곡동,155,2022-02-25
2017,용현동,100,2022-02-25
2017,장암동,39,2022-02-25
2017,호원동,113,2022-02-25
2017,의정부동,144,2022-02-25
2016,가능동,88,2022-02-25
2016,고산동,7,2022-02-25
2016,금오동,53,2022-02-25
2016,낙양동,30,2022-02-25
2016,녹양동,21,2022-02-25
2016,민락동,45,2022-02-25
2016,신곡동,153,2022-02-25
2016,용현동,56,2022-02-25
2016,장암동,40,2022-02-25
2016,호원동,122,2022-02-25
2016,의정부동,167,2022-02-25
