번호,시군명,읍면명,동물 등록 수(마리),(등록주체)시군구 등록,(등록주체)대행업체 등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록 품종 수,등록 소유자 수,동물 소유자당 등록 동물 수,해당 동의 등록대행업체 수,데이터기준일자
1,완주군,삼례읍,532,10,522,,205,266,61,42,395,1.35,1,2022-01-11
2,완주군,봉동읍,1058,34,1024,,527,389,142,56,732,1.45,2,2022-01-11
3,완주군,용진읍,319,25,294,,182,112,25,60,215,1.43,1,2022-01-11
4,완주군,상관면,350,13,337,,215,69,67,36,168,2.09,1,2022-01-11
5,완주군,이서면,601,35,566,,316,216,69,53,395,1.52,2,2022-01-11
6,완주군,소양면,310,14,296,,176,109,25,38,169,1.83,,2022-01-11
7,완주군,구이면,392,11,381,,245,102,45,50,256,1.53,,2022-01-11
8,완주군,고산면,160,5,155,,61,73,26,22,98,1.63,1,2022-01-11
9,완주군,비봉면,47,5,42,,14,27,6,14,25,1.88,,2022-01-11
10,완주군,운주면,43,2,41,,20,17,6,17,32,1.34,,2022-01-11
11,완주군,화산면,65,4,61,,33,27,5,19,42,1.55,,2022-01-11
12,완주군,동상면,59,5,54,,23,30,6,16,27,2.19,,2022-01-11
13,완주군,경천면,35,2,33,,16,18,1,10,14,2.5,,2022-01-11
