시도명,시군명,법정동명,등록동물수,시군구등록,대행업체등록,기타등록,내장형 RFID,외장형 RFID,인식표RFID,등록품종수,동물소유자수,동물소유자당 동물수,데이터 시작일자,데이터 기준일자,
강원도,춘천시,교동,19,1,18,0,8,11,0,11,18,1.06,2021-01-01,2021-09-26,
강원도,춘천시,남면,11,0,11,0,4,7,0,4,4,2.75,2021-01-01,2021-09-26,
강원도,춘천시,동면,102,5,97,0,45,56,1,24,93,1.10,2021-01-01,2021-09-26,
강원도,춘천시,서면,46,1,45,0,32,14,0,11,16,2.88,2021-01-01,2021-09-26,
강원도,춘천시,신동,6,0,6,0,2,4,0,5,5,1.20,2021-01-01,2021-09-26,
강원도,춘천시,근화동,41,2,39,0,23,14,4,10,39,1.05,2021-01-01,2021-09-26,
강원도,춘천시,낙원동,1,0,1,0,1,0,0,1,1,1.00,2021-01-01,2021-09-26,
강원도,춘천시,남산면,62,38,24,0,27,35,0,15,15,4.13,2021-01-01,2021-09-26,
강원도,춘천시,동내면,122,8,114,0,71,46,5,26,104,1.17,2021-01-01,2021-09-26,
강원도,춘천시,동산면,6,0,6,0,2,4,0,4,4,1.50,2021-01-01,2021-09-26,
강원도,춘천시,봉의동,2,0,2,0,2,0,0,1,2,1.00,2021-01-01,2021-09-26,
강원도,춘천시,북산면,19,0,19,0,5,14,0,4,7,2.71,2021-01-01,2021-09-26,
강원도,춘천시,사농동,43,4,39,0,34,9,0,13,36,1.19,2021-01-01,2021-09-26,
강원도,춘천시,사북면,17,3,14,0,10,7,0,10,15,1.13,2021-01-01,2021-09-26,
강원도,춘천시,삼천동,20,1,19,0,14,6,0,8,17,1.18,2021-01-01,2021-09-26,
강원도,춘천시,석사동,138,5,133,0,67,66,5,23,124,1.11,2021-01-01,2021-09-26,
강원도,춘천시,송암동,4,0,4,0,0,4,0,3,2,2.00,2021-01-01,2021-09-26,
강원도,춘천시,신동면,14,1,13,0,4,10,0,5,11,1.27,2021-01-01,2021-09-26,
강원도,춘천시,신북읍,71,6,65,0,31,36,4,20,58,1.22,2021-01-01,2021-09-26,
강원도,춘천시,약사동,3,0,3,0,3,0,0,2,3,1.00,2021-01-01,2021-09-26,
강원도,춘천시,옥천동,4,2,2,0,2,2,0,1,2,2.00,2021-01-01,2021-09-26,
강원도,춘천시,온의동,52,2,50,0,35,15,2,16,49,1.06,2021-01-01,2021-09-26,
강원도,춘천시,요선동,11,0,11,0,8,3,0,6,10,1.10,2021-01-01,2021-09-26,
강원도,춘천시,우두동,95,4,91,0,58,35,2,22,84,1.13,2021-01-01,2021-09-26,
강원도,춘천시,운교동,14,0,14,0,11,3,0,7,12,1.17,2021-01-01,2021-09-26,
강원도,춘천시,조양동,3,0,3,0,3,0,0,3,3,1.00,2021-01-01,2021-09-26,
강원도,춘천시,죽림동,1,0,1,0,1,0,0,1,1,1.00,2021-01-01,2021-09-26,
강원도,춘천시,칠전동,32,3,29,0,24,8,0,14,28,1.14,2021-01-01,2021-09-26,
강원도,춘천시,퇴계동,190,12,178,0,112,75,3,30,175,1.09,2021-01-01,2021-09-26,
강원도,춘천시,효자동,105,6,99,0,50,52,3,25,97,1.08,2021-01-01,2021-09-26,
강원도,춘천시,후평동,254,21,233,0,120,123,11,31,208,1.22,2021-01-01,2021-09-26,
강원도,춘천시,소양로1가,6,1,5,0,3,3,0,3,6,1.00,2021-01-01,2021-09-26,
강원도,춘천시,소양로2가,26,1,25,0,12,12,2,8,25,1.04,2021-01-01,2021-09-26,
강원도,춘천시,소양로3가,2,0,2,0,2,0,0,2,2,1.00,2021-01-01,2021-09-26,
강원도,춘천시,소양로4가,0,0,0,0,0,0,0,0,0,0.00,2021-01-01,2021-09-26,
강원도,춘천시,중앙로2가,1,0,1,0,1,0,0,1,1,1.00,2021-01-01,2021-09-26,
강원도,춘천시,중앙로3가,2,1,1,0,2,0,0,2,2,1.00,2021-01-01,2021-09-26,
