시군명,읍면동명,등록동물수,(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,데이터기준일자
고양시,강매동,63,0,63,0,57,5,1,15,30,2.1,2022-06-30
고양시,고양동,1577,19,1557,1,968,510,99,63,1182,1.33,2022-06-30
고양시,관산동,1184,15,1169,0,672,442,70,60,855,1.38,2022-06-30
고양시,내곡동,84,2,82,0,54,25,5,24,55,1.53,2022-06-30
고양시,내유동,1233,18,1215,0,719,433,81,66,846,1.46,2022-06-30
고양시,대자동,165,5,160,0,86,64,15,34,119,1.39,2022-06-30
고양시,대장동,112,1,111,0,67,38,7,25,76,1.47,2022-06-30
고양시,덕은동,177,3,174,0,81,86,10,43,115,1.54,2022-06-30
고양시,도내동,1013,10,1003,0,558,413,42,56,779,1.3,2022-06-30
고양시,동산동,1315,7,1308,0,719,518,78,63,716,1.84,2022-06-30
고양시,벽제동,253,1,252,0,167,74,12,35,142,1.78,2022-06-30
고양시,북한동,6,0,6,0,1,4,1,4,4,1.5,2022-06-30
고양시,삼송동,1307,18,1287,2,681,532,94,69,941,1.39,2022-06-30
고양시,선유동,84,1,83,0,64,19,1,18,22,3.82,2022-06-30
고양시,성사동,2021,21,1999,1,1175,776,70,75,1553,1.3,2022-06-30
고양시,신원동,1181,21,1160,0,603,513,65,58,903,1.31,2022-06-30
고양시,신평동,17,0,17,0,11,4,2,10,8,2.13,2022-06-30
고양시,오금동,126,0,126,0,64,57,5,30,86,1.47,2022-06-30
고양시,용두동,150,2,148,0,71,61,18,36,90,1.67,2022-06-30
고양시,원당동,130,0,130,0,81,45,4,29,85,1.53,2022-06-30
고양시,원흥동,1190,42,1148,0,626,492,72,65,867,1.37,2022-06-30
고양시,주교동,1346,13,1332,1,812,489,45,65,1015,1.33,2022-06-30
고양시,지축동,456,10,445,1,255,173,28,41,318,1.43,2022-06-30
고양시,토당동,2610,43,2567,0,1988,534,88,86,1628,1.6,2022-06-30
고양시,행신동,5756,52,5701,3,3780,1683,293,93,4620,1.25,2022-06-30
고양시,향동동,609,4,605,0,315,254,40,47,477,1.28,2022-06-30
고양시,현천동,120,5,115,0,54,48,18,38,67,1.79,2022-06-30
고양시,화전동,234,3,231,0,128,86,20,36,152,1.54,2022-06-30
고양시,화정동,4312,42,4267,3,2778,1351,183,95,3476,1.24,2022-06-30
고양시,효자동,30,3,27,0,21,8,1,15,20,1.5,2022-06-30
고양시,행주내동,81,4,77,0,53,19,9,24,60,1.35,2022-06-30
고양시,행주외동,52,0,52,0,29,11,12,16,33,1.58,2022-06-30
고양시,풍동,2755,28,2726,1,1763,795,197,84,2133,1.29,2022-06-30
고양시,마두동,2878,33,2840,5,1884,857,137,73,2296,1.25,2022-06-30
고양시,문봉동,138,2,136,0,76,54,8,36,91,1.52,2022-06-30
고양시,백석동,4380,40,4339,1,2764,1343,273,99,3231,1.36,2022-06-30
고양시,산황동,29,0,29,0,19,8,2,14,21,1.38,2022-06-30
고양시,설문동,283,5,277,1,176,90,17,44,154,1.84,2022-06-30
고양시,성석동,1054,8,1045,1,662,312,80,69,644,1.64,2022-06-30
고양시,식사동,2919,16,2901,2,1613,1117,189,86,2244,1.3,2022-06-30
고양시,장항동,3771,40,3731,0,2264,1265,242,86,2609,1.45,2022-06-30
고양시,중산동,3170,19,3148,3,2015,913,242,81,2435,1.3,2022-06-30
고양시,지영동,53,0,53,0,34,17,2,21,38,1.39,2022-06-30
고양시,사리현동,503,6,497,0,262,202,39,48,346,1.45,2022-06-30
고양시,정발산동,1963,19,1944,0,1264,578,121,77,1456,1.35,2022-06-30
고양시,가좌동,1354,6,1347,1,848,348,158,64,952,1.42,2022-06-30
고양시,구산동,152,2,150,0,97,42,13,31,90,1.69,2022-06-30
고양시,대화동,3964,28,3935,1,2619,1112,233,100,2950,1.34,2022-06-30
고양시,덕이동,2546,14,2532,0,1513,899,134,87,1697,1.5,2022-06-30
고양시,법곳동,124,3,121,0,82,30,12,30,82,1.51,2022-06-30
고양시,일산동,5115,33,5081,1,3274,1547,294,86,3968,1.29,2022-06-30
고양시,주엽동,3668,28,3639,1,2282,1197,189,83,2942,1.25,2022-06-30
고양시,탄현동,3664,24,3640,0,2312,1067,285,92,2861,1.28,2022-06-30
