시군명,읍면동명,등록동물수,(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수,데이터기준일자
남양주시,와부읍,4527,328,4193,6,2914,1135,478,84,3348,1.35,5,2022-08-19
남양주시,진접읍,6773,257,6509,7,4062,2107,604,89,4894,1.38,8,2022-08-19
남양주시,화도읍,9400,542,8855,3,5742,2385,1273,108,6315,1.49,8,2022-08-19
남양주시,진건읍,1771,160,1608,3,1163,388,220,72,1274,1.39,1,2022-08-19
남양주시,오남읍,4753,224,4527,2,3314,1112,327,79,3523,1.35,3,2022-08-19
남양주시,퇴계원읍,1749,77,1672,0,1217,434,98,104,1315,1.36,1,2022-08-19
남양주시,별내면,1176,24,1151,1,594,373,209,59,877,1.34,1,2022-08-19
남양주시,수동면,1079,94,981,4,657,231,191,81,554,1.95,0,2022-08-19
남양주시,조안면,341,42,298,1,217,74,50,56,212,1.61,0,2022-08-19
남양주시,호평동,3756,133,3623,0,2247,1063,446,87,2868,1.31,4,2022-08-19
남양주시,평내동,2949,77,2871,1,1902,831,216,72,2245,1.31,2,2022-08-19
남양주시,금곡동,1472,83,1389,0,906,417,149,62,1119,1.32,2,2022-08-19
남양주시,양정동,388,9,378,1,207,120,61,90,212,1.83,0,2022-08-19
남양주시,다산1동,5832,175,5653,4,3038,1916,878,132,4532,1.26,8,2022-08-19
남양주시,다산2동,435,1,434,0,191,119,125,76,345,1.26,4,2022-08-19
남양주시,별내동,5179,206,4973,0,2638,2146,395,79,3911,1.32,8,2022-08-19
