시군명,읍면동명,등록 동물 수(마리),(등록주체)시군구 등록,(등록주체)대행업체 등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록 품종 수,등록 소유자 수,동물 소유자당 등록 동물 수,해당 동의 등록대행업체 수,데이터기준일자
연천군,연천읍,288,11,277,0,150,125,13,42,192,1.5,0,2022-07-19
연천군,전곡읍,976,63,913,0,483,452,41,72,709,1.38,0,2022-07-19
연천군,군남면,80,11,131,0,83,52,7,31,86,1.65,0,2022-07-19
연천군,청산면,263,21,242,0,107,139,17,36,154,1.71,0,2022-07-19
연천군,백학면,89,6,83,0,49,32,8,26,59,1.51,0,2022-07-19
연천군,미산면,139,22,117,0,84,47,8,25,62,2.24,0,2022-07-19
연천군,왕징면,33,2,31,0,30,3,0,10,20,1.65,0,2022-07-19
연천군,신서면,106,12,94,0,70,30,6,24,72,1.47,0,2022-07-19
연천군,중면,13,0,13,0,6,6,1,8,8,1.63,0,2022-07-19
연천군,장남면,33,5,28,0,20,13,0,12,22,1.5,0,2022-07-19
