업소명,관리기관,구분,소재지도로명주소,전화번호,지정일자,데이터기준일자
영재애견종합병원,광주광역시 동구,동물병원,광주광역시 동구 필문대로 130-1 (산수동),062-527-8275,1996-11-30,2022-07-12
신세계 동물병원,광주광역시 동구,동물병원,광주광역시 동구 중앙로 150 (호남동),062-226-7585,2001-05-30,2022-07-12
황제 동물병원,광주광역시 동구,동물병원,광주광역시 동구 의재로 27 (학동),062-227-1023,2003-11-06,2022-07-12
광주 한사랑동물병원,광주광역시 동구,동물병원,광주광역시 동구 남문로 675 (학동),062-223-0075,2016-06-02,2022-07-12
튼튼동물병원,광주광역시 동구,동물병원,"광주광역시 동구 중앙로 358, 상가동 149호 (계림동, 금호계림주상복합)",062-511-7582,2016-10-06,2022-07-12
현동물병원,광주광역시 동구,동물병원,광주광역시 동구 남문로 730 (학동),062-222-7585,2020-01-03,2022-07-12
24시노아동물메디컬센터,광주광역시 동구,동물병원,광주광역시 동구 독립로 292 (대인동),062-222-0075,2021-03-11,2022-07-12
백제동물약국,광주광역시 동구,동물약국,광주광역시 동구 제봉로 200 (대인동),062-232-1570,1999-10-25,2022-07-12
스위스약국,광주광역시 동구,동물약국,"광주광역시 동구 중앙로 358, 122호 (계림동)",062-512-0098,2013-05-29,2022-07-12
동광주 동물약국,광주광역시 동구,동물약국,광주광역시 동구 무등로 314 (계림동),062-234-3345,2015-07-07,2022-07-12
조은약국,광주광역시 동구,동물약국,광주광역시 동구 남문로701번길 8 (학동),062-227-5002,2016-07-01,2022-07-12
학동우리들약국,광주광역시 동구,동물약국,"광주광역시 동구 남문로 663, 1층 (학동)",062-229-3200,2018-08-20,2022-07-12
무등산약국,광주광역시 동구,동물약국,"광주광역시 동구 문화전당로 3, 1층 (남동)",062-233-0072,2018-09-18,2022-07-12
오렌지약국,광주광역시 동구,동물약국,광주광역시 동구 남문로 642 (소태동),062-234-5404,2019-02-12,2022-07-12
학동프라임약국,광주광역시 동구,동물약국,광주광역시 동구 남문로 780 (학동),062-227-2580,2019-10-28,2022-07-12
삼성약국,광주광역시 동구,동물약국,광주광역시 동구 남문로744번길 27 (학동),062-226-9933,2019-10-28,2022-07-12
대학온누리약국,광주광역시 동구,동물약국,광주광역시 동구 백서로 155-1 (서석동),062-223-4499,2020-03-17,2022-07-12
국민약국,광주광역시 동구,동물약국,"광주광역시 동구 제봉로 39, 1층 (학동)",062-224-3378,2020-08-12,2022-07-12
우리약국,광주광역시 동구,동물약국,"광주광역시 동구 제봉로 37, 1층 (학동)",062-225-8080,2020-12-08,2022-07-12
센트럴약국,광주광역시 동구,동물약국,"광주광역시 동구 제봉로222번길 12, 1층 102호 (대인동)",062-222-6555,2021-05-27,2022-07-12
365문화전당약국,광주광역시 동구,동물약국,"광주광역시 동구 서석로 46, 1층 (광산동)",0507-1482-8818,2021-05-27,2022-07-12
밝은약국,광주광역시 동구,동물약국,"광주광역시 동구 무등로 386, 1층 (계림동)",062-942-8575,2021-06-22,2022-07-12
하늘약국,광주광역시 동구,동물약국,"광주광역시 동구 무등로 405, 102-1호 (계림동)",062-524-9111,2021-12-01,2022-07-12
유림약국,광주광역시 동구,동물약국,광주광역시 동구 필문대로 174(산수동),062-512-5566,2022-05-18,2022-07-12
푸른길약국,광주광역시 동구,동물약국,"광주광역시 동구 경양로 349, 1층 (산수동)",062-716-2245,2022-05-18,2022-07-12
