연번,읍면동(법정동),등록주체 시군구,등록주체 대행업체,등록주체 기타(이벤트등),무선태그 내장형,무선태그 외장형,무선태그 인식표,등록품종수,동물소유자수,동물소유자당 동물등록수,데이터기준일자
1,경동,20,54,0,39,19,16,23,49,1.51,2022-08-19
2,내동,6,72,0,58,15,5,20,51,1.53,2022-08-19
3,답동,14,48,1,33,16,14,18,47,1.34,2022-08-19
4,사동,1,35,0,24,9,3,14,26,1.38,2022-08-19
5,용동,1,29,0,18,10,2,14,23,1.3,2022-08-19
6,유동,6,23,0,17,7,5,17,22,1.32,2022-08-19
7,전동,16,147,0,110,38,15,31,107,1.52,2022-08-19
8,남북동,1,40,0,32,8,1,17,25,1.64,2022-08-19
9,덕교동,0,12,0,9,2,1,8,11,1.09,2022-08-19
10,도원동,50,206,0,140,68,48,32,190,1.35,2022-08-19
11,무의동,1,12,0,7,4,2,9,13,1,2022-08-19
12,선린동,3,18,0,19,0,2,11,11,1.91,2022-08-19
13,선화동,9,41,0,32,11,7,20,36,1.39,2022-08-19
14,신생동,15,51,0,45,11,10,18,49,1.35,2022-08-19
15,신포동,10,21,0,15,6,10,10,15,2.07,2022-08-19
16,운남동,15,596,0,363,186,62,49,447,1.37,2022-08-19
17,운북동,26,236,0,141,72,49,46,147,1.78,2022-08-19
18,운서동,39,1159,0,655,443,100,61,971,1.23,2022-08-19
19,율목동,28,125,0,84,42,27,26,110,1.39,2022-08-19
20,을왕동,6,81,0,49,24,14,22,61,1.43,2022-08-19
21,인현동,9,71,1,51,22,8,15,45,1.8,2022-08-19
22,중산동,84,1358,0,813,448,181,72,1052,1.37,2022-08-19
23,관동1가,2,12,0,8,4,2,10,11,1.27,2022-08-19
24,관동2가,2,7,0,6,1,2,6,6,1.5,2022-08-19
25,관동3가,1,16,0,14,2,1,8,10,1.7,2022-08-19
26,항동1가,3,6,0,7,1,1,7,7,1.29,2022-08-19
27,항동5가,0,1,0,1,0,0,1,1,1,2022-08-19
28,항동7가,44,351,0,271,76,48,37,294,1.34,2022-08-19
29,북성동1가,37,92,0,76,26,27,35,85,1.52,2022-08-19
30,북성동2가,22,62,0,46,14,24,19,57,1.47,2022-08-19
31,북성동3가,7,25,0,28,1,3,13,23,1.39,2022-08-19
32,송월동1가,39,197,0,141,68,27,26,161,1.47,2022-08-19
33,송월동2가,6,22,0,15,8,5,10,23,1.22,2022-08-19
34,송월동3가,7,43,0,35,11,4,17,41,1.22,2022-08-19
35,송학동1가,1,4,0,2,2,1,4,4,1.25,2022-08-19
36,송학동2가,2,11,0,7,4,2,8,9,1.44,2022-08-19
37,송학동3가,5,34,0,27,7,5,18,25,1.56,2022-08-19
38,신흥동1가,41,178,0,116,60,43,31,164,1.34,2022-08-19
39,신흥동2가,29,145,0,110,36,28,30,131,1.33,2022-08-19
40,신흥동3가,35,262,0,201,61,35,30,210,1.41,2022-08-19
41,중앙동1가,2,0,0,0,0,2,2,1,2,2022-08-19
42,중앙동2가,0,2,0,2,0,0,2,1,2,2022-08-19
43,중앙동3가,3,15,0,6,8,4,9,11,1.64,2022-08-19
44,중앙동4가,1,8,0,8,0,1,7,5,1.8,2022-08-19
45,해안동2가,3,3,0,3,0,3,4,4,1.5,2022-08-19
46,해안동3가,1,0,0,0,0,1,1,1,1,2022-08-19
47,해안동4가,1,0,0,0,0,1,1,1,1,2022-08-19
